census_tract,population
17-031-160100,2485
17-031-151200,3884
17-031-151100,5458
17-031-151002,4567
17-031-151001,2819
17-031-150800,5280
17-031-150700,4608
17-031-150600,4163
17-031-150502,4205
17-031-150501,3648
17-031-150402,3886
17-031-150401,4793
17-031-150300,7198
17-031-150200,7540
17-031-140800,6825
17-031-140702,6187
17-031-140701,2933
17-031-140602,5397
17-031-140601,2786
17-031-140500,3679
17-031-140400,6805
17-031-140302,4345
17-031-140301,2891
17-031-140200,5965
17-031-140100,3729
17-031-130300,5064
17-031-130200,1412
17-031-130100,5133
17-031-120400,3515
17-031-120300,6365
17-031-120200,4430
17-031-120100,4198
17-031-110502,3214
17-031-110501,4639
17-031-110400,4352
17-031-110300,5161
17-031-110200,2828
17-031-110100,5254
17-031-100700,4826
17-031-100600,4832
17-031-100500,5779
17-031-100400,3066
17-031-100300,6177
17-031-100200,6749
17-031-100100,5313
17-031-090300,1305
17-031-090200,6477
17-031-090100,3405
17-031-081900,1053
17-031-081800,6866
17-031-081700,3102
17-031-081600,3545
17-031-081500,4379
17-031-081403,6229
17-031-081402,4243
17-031-081401,2279
17-031-081300,4884
17-031-081202,2995
17-031-081201,4059
17-031-081100,3640
17-031-081000,7546
17-031-080400,4317
17-031-080300,4315
17-031-080202,3498
17-031-080201,3287
17-031-080100,6013
17-031-071800,2646
17-031-071700,1652
17-031-071600,1783
17-031-071500,5768
17-031-071400,4570
17-031-071300,3513
17-031-071200,1906
17-031-071100,2944
17-031-071000,4442
17-031-070700,3481
17-031-070600,2981
17-031-070500,2928
17-031-070400,2984
17-031-070300,3367
17-031-070200,3900
17-031-070103,1709
17-031-070102,2413
17-031-070101,3796
17-031-063400,2180
17-031-063303,1201
17-031-063302,3996
17-031-063301,2641
17-031-063200,6345
17-031-063100,2173
17-031-063000,2973
17-031-062900,3976
17-031-062800,3506
17-031-062700,2724
17-031-062600,2226
17-031-062500,1497
17-031-062400,1421
17-031-062300,1513
17-031-062200,2870
17-031-062100,3436
17-031-062000,2569
17-031-061902,4240
17-031-061901,3433
17-031-061800,1112
17-031-061500,1707
17-031-061200,1889
17-031-061100,1379
17-031-061000,1647
17-031-060900,6867
17-031-060800,4837
17-031-060500,1309
17-031-060400,3370
17-031-060300,2839
17-031-060200,2111
17-031-060100,2569
17-031-051400,2077
17-031-051300,2683
17-031-051200,1516
17-031-051100,1556
17-031-051000,1503
17-031-050900,1391
17-031-050800,1289
17-031-050700,1418
17-031-050600,2071
17-031-050500,4754
17-031-050300,2365
17-031-050200,4837
17-031-050100,2290
17-031-040900,1950
17-031-040800,1514
17-031-040700,3123
17-031-040600,2434
17-031-040402,4468
17-031-040401,3092
17-031-040300,3069
17-031-040202,7249
17-031-040201,6218
17-031-040100,3985
17-031-032100,7052
17-031-031900,2304
17-031-031800,1820
17-031-031700,6570
17-031-031502,4354
17-031-031501,4083
17-031-031400,5150
17-031-031300,7076
17-031-031200,5648
17-031-031100,4402
17-031-031000,3656
17-031-030900,3028
17-031-030800,4326
17-031-030706,3599
17-031-030703,2830
17-031-030702,1630
17-031-030701,1549
17-031-030604,2976
17-031-030603,2095
17-031-030601,4012
17-031-030500,6395
17-031-030400,2684
17-031-030300,3322
17-031-030200,5369
17-031-030104,3681
17-031-030103,1928
17-031-030102,3204
17-031-030101,3893
17-031-020902,4286
17-031-020901,5221
17-031-020802,6963
17-031-020801,5458
17-031-020702,7194
17-031-020701,1704
17-031-020602,4340
17-031-020601,6353
17-031-020500,6214
17-031-020400,4168
17-031-020302,4650
17-031-020301,4750
17-031-020200,6676
17-031-020100,3965
17-031-010702,5143
17-031-010701,3864
17-031-010600,6097
17-031-010503,2290
17-031-010502,3101
17-031-010501,4091
17-031-010400,5042
17-031-010300,6236
17-031-010202,2818
17-031-010201,6450
17-031-010100,4854
